,Test,Time,Mdn DNS (ms),Mdn SSL (ms),Avg Time To First Byte (ms),Mdn Webpage Response (ms),Mdn Render Start (ms),Avg Image Bytes,Avg Script Bytes,Avg Css Bytes,% Availability,# Runs
54,[204709] - trip.com,11/5/2017 12:00,328,,422.92,8377.5,1148,723771.33,579380.5,10770,100,12
55,[204709] - trip.com,11/5/2017 14:00,285,,1015.33,10643.5,1001,745657.36,585274.91,10767.09,91.667,12
56,[204709] - trip.com,11/5/2017 16:00,318,,1716.36,10777,1250,762138.2,546718.2,10766.9,81.818,11
57,[204709] - trip.com,11/5/2017 18:00,259.5,,398.58,9273.5,1298,716861.08,562516,10764.92,91.667,12
58,[204709] - trip.com,11/5/2017 20:00,202,,336,9727.5,999.5,770504.58,583643.17,10770.33,91.667,12
59,[204709] - trip.com,11/5/2017 22:00,165.5,,277.9,7749,896,817858.5,581876.1,10758.4,90,10
60,[204709] - trip.com,11/6/2017 0:00,237,,540.15,9388,993,712282.77,578187.54,10766.69,100,13
61,[204709] - trip.com,11/6/2017 2:00,291,,1192.75,9498.5,1255.5,788859.92,561620,10773.33,83.333,12
62,[204709] - trip.com,11/6/2017 4:00,154.5,,410.17,9654.5,1098.5,828930.42,581451.83,10759.67,91.667,12
63,[204709] - trip.com,11/6/2017 6:00,367,,933.23,10830,1196,725885,549481.85,10759.69,92.308,13
64,[204709] - trip.com,11/6/2017 8:00,265,,423.75,11576.5,1546.5,781706.33,578624.75,10765.67,91.667,12
65,[204709] - trip.com,11/6/2017 10:00,291,,430.92,8392.5,1147,694940.75,577627.67,10769.33,100,12
66,[204709] - trip.com,11/6/2017 12:00,254,,430.1,9945.5,1259,799121.3,578204,10758.6,100,10
67,[204709] - trip.com,11/6/2017 14:00,234,,698.92,10035,1299,766479,578106.46,10767.46,92.308,13
68,[204709] - trip.com,11/6/2017 16:00,188.5,,292.5,9394.5,1209.5,722625,577985.92,10770.33,91.667,12
69,[204709] - trip.com,11/6/2017 18:00,192.5,,293,8851,948,729003.08,586268.58,10760.33,100,12
70,[204709] - trip.com,11/6/2017 20:00,340.5,,432,9016,1397.5,644321.17,578954.25,10767.33,100,12
71,[204709] - trip.com,11/6/2017 22:00,363,,1252.42,8795,1298,708488.36,543654.18,10763.18,83.333,12
72,[204709] - trip.com,11/7/2017 0:00,198.5,,300.08,8520,1046,728412.33,580662.58,10772.17,91.667,12
73,[204709] - trip.com,11/7/2017 2:00,242.5,,446.92,9606.5,1047,787644.08,577516.83,10763.75,91.667,12
74,[204709] - trip.com,11/7/2017 4:00,359.5,,1181.08,10019.5,1500,742007.36,579796.73,10766.45,91.667,12
75,[204709] - trip.com,11/7/2017 6:00,300,,383.54,8854,1098,707978.62,562567.92,10767.69,92.308,13
76,[204709] - trip.com,11/7/2017 8:00,206,,760.33,8458,1411,687366.58,582202.58,10765.75,100,12
77,[204709] - trip.com,11/7/2017 10:00,163,,372.83,9136,1146.5,701781,582176.83,10758.25,100,12
78,[204709] - trip.com,11/7/2017 12:00,245,,376,10169.5,1298,717255.17,582570.33,10761.75,100,12
79,[204709] - trip.com,11/7/2017 14:00,407.5,,1200.25,9274,997,762824.91,583451.55,10774.09,83.333,12
80,[204709] - trip.com,11/7/2017 16:00,316,,428.55,10146,1365,704847.09,541247.73,10760.45,90.909,11
81,[204709] - trip.com,11/7/2017 18:00,228,,681.67,9380,1293.5,695343.75,582902.92,10759.33,100,12
82,[204709] - trip.com,11/7/2017 20:00,254,,379.58,10820.5,1341.5,745699.33,579868.75,10765.17,100,12
83,[204709] - trip.com,11/7/2017 22:00,274.5,,664.25,11533,1250.5,804226,581471.58,10767.17,100,12
84,[204709] - trip.com,11/8/2017 0:00,270,,397.27,9526,1298,705336.55,591025.64,10763.36,90.909,11
85,[204709] - trip.com,11/8/2017 2:00,151,,275.67,9878.5,1149,700201.33,585401.5,10760.58,100,12
86,[204709] - trip.com,11/8/2017 4:00,251,,374.08,8518.5,995.5,709500.92,579870.5,10759.5,100,12
87,[204709] - trip.com,11/8/2017 6:00,157,,698.45,10172,1197,832663.55,580939.55,10762.18,90.909,11
88,[204709] - trip.com,11/8/2017 8:00,323,,665.08,9388,1696,746389.38,581440.69,10762.69,100,13
89,[204709] - trip.com,11/8/2017 10:00,247.5,,373.83,9530.5,1293.5,799683.58,581131.67,10769.67,91.667,12
90,[204709] - trip.com,11/8/2017 12:00,161,,915.08,9637,1370.5,693282.58,546065.33,10758.92,83.333,12
91,[204709] - trip.com,11/8/2017 14:00,386,,499.83,11891.5,1648.5,793665.33,563111.75,10761.08,83.333,12
92,[204709] - trip.com,11/8/2017 16:00,266.5,,383.58,9257.5,1250,724177,581606.67,10776.25,100,12
93,[204709] - trip.com,11/8/2017 18:00,291.5,,401.83,9127,1298,740400.67,581400.67,10763.25,91.667,12
94,[204709] - trip.com,11/8/2017 20:00,262.5,,361.08,10136,1396.5,785301.25,584191.83,10762.92,91.667,12
95,[204709] - trip.com,11/8/2017 22:00,208,,458.33,10081,1199.5,740579,558530.08,10761.83,91.667,12
96,[204709] - trip.com,11/9/2017 0:00,289,,378.08,8332,1197,752767.17,579873.42,10770.83,100,12
97,[204709] - trip.com,11/9/2017 2:00,219.5,,778,9650,1355,815990.33,579804.25,10760.75,91.667,12
98,[204709] - trip.com,11/9/2017 4:00,334.5,,860.42,10841,1398,790692.58,580533.17,10759.67,100,12
99,[204709] - trip.com,11/9/2017 6:00,331,,485.25,8805,1346,719958.75,546968.83,10771,83.333,12
100,[204709] - trip.com,11/9/2017 8:00,249,,590.25,9304,1241,711051.67,582329.25,10767.08,100,12
101,[204709] - trip.com,11/9/2017 10:00,319,,543.58,9994.5,1250,764230.58,582736.17,10774,91.667,12
102,[204709] - trip.com,11/9/2017 12:00,294,,476.17,9036,1298.5,716758,545266.67,10767.58,91.667,12
103,[204709] - trip.com,11/9/2017 14:00,508.5,,1536,10596,2194.5,758938,578317.58,10756.08,100,12
104,[204709] - trip.com,11/9/2017 16:00,265.5,,516.83,12024,1354.5,847002.42,581393.5,10761.42,100,12
